데이터 크기(Data Size),윈도우 크기(Window Size),임계치(Threshold),정상 탐지율(TNR %),공격 탐지율(TPR %),정상 맞춘 개수,공격 맞춘 개수
3000,3,470.0326,100.0,0.0,1997 / 1997,0 / 197
3000,5,477.2554,100.0,0.0,1995 / 1995,0 / 195
3000,7,471.3358,100.0,0.0,1993 / 1993,0 / 193
3000,10,481.3091,100.0,0.0,1990 / 1990,0 / 190
9000,3,472.7466,100.0,0.0,1997 / 1997,0 / 197
9000,5,488.4135,100.0,0.0,1995 / 1995,0 / 195
9000,7,503.5348,100.0,0.0,1993 / 1993,0 / 193
9000,10,492.7048,100.0,0.0,1990 / 1990,0 / 190
13000,3,328.9303,96.9,66.0,1936 / 1997,130 / 197
13000,5,347.1366,100.0,100.0,1995 / 1995,195 / 195
13000,7,372.3851,97.5,0.0,1943 / 1993,0 / 193
13000,10,401.6859,98.4,0.0,1959 / 1990,0 / 190
18000,3,278.6148,97.2,100.0,1942 / 1997,197 / 197
18000,5,393.3904,100.0,0.0,1995 / 1995,0 / 195
18000,7,305.9290,95.6,100.0,1905 / 1993,193 / 193
18000,10,363.9463,100.0,0.0,1990 / 1990,0 / 190
